descriptor_assertion_id	source_dataset_id	source_artifact_id	source_file_sha256	source_route_id	source_family_id	organizer_id	competition_series_id	edition_id	edition_year	category_id	round_id	entry_or_lot_id	coffee_identity_id	preparation_service_id	effective_record_id	publication_layer	source_field_label	source_locator	raw_source_text_or_restricted_pointer	atomic_source_text_or_restricted_pointer	source_language	descriptor_class	source_native_lexical_form_or_restricted_pointer	normalized_descriptor_candidate_id	evidence_tier	provenance_state	rights_state	review_state	corpus_state	evidence_stratum	duplicate_group_id	mirror_group_id	repeat_group_id	same_coffee_cross_observation_group_id	c0_source_status	c0_family	c1_source_status	source_native_roast_value	reviewed_c1_mapping	source_commit_sha	parser_version	adapter_version	created_at	counts_as_assertion	counts_as_record_unique_descriptor	model_eligible	source_field_text_sha256	atomic_source_text_sha256	source_text_storage_state	source_text_non_storage_reason
assertion:0472ba5175c33538e28a1dbd	round3m-live-assertions	capture:717b9e1a3ef6400f:coe-colombia-south-2008-el-vergel-86-73	717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033	route.coe.colombia-south-2008.frequency-coded	family.ace_cup_of_excellence	organizer.ace	coe	colombia-south-2008	2008	cup-of-excellence	competition-final	coe-colombia-south-2008-el-vergel-86-73	coe-colombia-south-2008-el-vergel-86-73	unresolved_preparation_service	effective:e034410f41d662fd4a1c08f6	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/86-73/	restricted:coe_colombia_south_2008_frequency.json#/records/1/fields/Aroma/Flavor	hash:sha256:6d1c5859550824d403d8c31af9ac673b7ba206e6f87e61e096a017299f74d63f	en	STRICT_FLAVOR	hash:sha256:6d1c5859550824d403d8c31af9ac673b7ba206e6f87e61e096a017299f74d63f		UNRESOLVED	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	C_OFFICIAL_FIELD_PROVENANCE_UNRESOLVED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	8135b1e52d0f49f8e1174f797cb31bfb639577c1312325f678f4c7dc5ee13ec4	6d1c5859550824d403d8c31af9ac673b7ba206e6f87e61e096a017299f74d63f	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:0489156557eca2876659f477	round3m-live-assertions	capture:717b9e1a3ef6400f:coe-colombia-south-2008-el-vergel-86-73	717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033	route.coe.colombia-south-2008.frequency-coded	family.ace_cup_of_excellence	organizer.ace	coe	colombia-south-2008	2008	cup-of-excellence	competition-final	coe-colombia-south-2008-el-vergel-86-73	coe-colombia-south-2008-el-vergel-86-73	unresolved_preparation_service	effective:e034410f41d662fd4a1c08f6	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/86-73/	restricted:coe_colombia_south_2008_frequency.json#/records/1/fields/Aroma/Flavor	hash:sha256:a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6	en	STRICT_FLAVOR	hash:sha256:a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6		UNRESOLVED	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	C_OFFICIAL_FIELD_PROVENANCE_UNRESOLVED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	8135b1e52d0f49f8e1174f797cb31bfb639577c1312325f678f4c7dc5ee13ec4	a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:0cc87fdbeecc9e4df49411a0	round3m-live-assertions	capture:717b9e1a3ef6400f:coe-colombia-south-2008-el-vergel-86-73	717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033	route.coe.colombia-south-2008.frequency-coded	family.ace_cup_of_excellence	organizer.ace	coe	colombia-south-2008	2008	cup-of-excellence	competition-final	coe-colombia-south-2008-el-vergel-86-73	coe-colombia-south-2008-el-vergel-86-73	unresolved_preparation_service	effective:e034410f41d662fd4a1c08f6	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/86-73/	restricted:coe_colombia_south_2008_frequency.json#/records/1/fields/Aroma/Flavor	hash:sha256:00d2064db061fbc29e714b94dd81e903c98af4b411b58cd303e0ecd2753791a9	en	STRICT_FLAVOR	hash:sha256:00d2064db061fbc29e714b94dd81e903c98af4b411b58cd303e0ecd2753791a9		UNRESOLVED	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	C_OFFICIAL_FIELD_PROVENANCE_UNRESOLVED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	8135b1e52d0f49f8e1174f797cb31bfb639577c1312325f678f4c7dc5ee13ec4	00d2064db061fbc29e714b94dd81e903c98af4b411b58cd303e0ecd2753791a9	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:0d5cfb0c54971ccdee5a19a3	round3m-live-assertions	capture:2ecb916106615174:coe-honduras-2017-el-roblar	2ecb916106615174a12a05a01589ef2799d168765880a5b83e5416540f562053	route.coe.honduras-2017.explicit-top-jury	family.ace_cup_of_excellence	organizer.ace	coe	honduras-2017	2017	cup-of-excellence	competition-final	coe-honduras-2017-el-roblar	coe-honduras-2017-el-roblar	unresolved_preparation_service	effective:aa8257ea7c527ff93620b889	PRIMARY_JURY_DESCRIPTION	Top Jury Descriptions	https://allianceforcoffeeexcellence.org/farm-directory/88-00-5/	restricted:coe_honduras_2017_top_jury.json#/records/3/fields/Top Jury Descriptions	hash:sha256:3b772b1437fa77cb8c61f09b49b1306ce14513547c2db97e7e37710399b2c771	en	STRICT_FLAVOR	hash:sha256:3b772b1437fa77cb8c61f09b49b1306ce14513547c2db97e7e37710399b2c771		P2	SOURCE_AUDITED_EXPLICIT_JURY_FIELD	PENDING	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	B_CORE_RIGHTS_BLOCKED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	7eadc583046ae80f06521c7dc4467c125933cd133a2b3f92b4a0a56a8896ea79	3b772b1437fa77cb8c61f09b49b1306ce14513547c2db97e7e37710399b2c771	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:0ea3a17ce9ad2ef673d3b7ce	round3m-live-assertions	capture:717b9e1a3ef6400f:coe-colombia-south-2008-el-vergel-86-73	717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033	route.coe.colombia-south-2008.frequency-coded	family.ace_cup_of_excellence	organizer.ace	coe	colombia-south-2008	2008	cup-of-excellence	competition-final	coe-colombia-south-2008-el-vergel-86-73	coe-colombia-south-2008-el-vergel-86-73	unresolved_preparation_service	effective:e034410f41d662fd4a1c08f6	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/86-73/	restricted:coe_colombia_south_2008_frequency.json#/records/1/fields/Aroma/Flavor	hash:sha256:fb8f4afb1a1f8691132e563c429021459ad42876a9fae42dcadaa7fb28d7a935	en	STRICT_FLAVOR	hash:sha256:fb8f4afb1a1f8691132e563c429021459ad42876a9fae42dcadaa7fb28d7a935		UNRESOLVED	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	C_OFFICIAL_FIELD_PROVENANCE_UNRESOLVED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	8135b1e52d0f49f8e1174f797cb31bfb639577c1312325f678f4c7dc5ee13ec4	fb8f4afb1a1f8691132e563c429021459ad42876a9fae42dcadaa7fb28d7a935	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:0eace76bead74cbcf08aa842	round3m-live-assertions	capture:717b9e1a3ef6400f:coe-colombia-south-2008-la-esperanza-87-18	717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033	route.coe.colombia-south-2008.frequency-coded	family.ace_cup_of_excellence	organizer.ace	coe	colombia-south-2008	2008	cup-of-excellence	competition-final	coe-colombia-south-2008-la-esperanza-87-18	coe-colombia-south-2008-la-esperanza-87-18	unresolved_preparation_service	effective:6e0f618d2337d1668cd026ec	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/87-18-2/	restricted:coe_colombia_south_2008_frequency.json#/records/0/fields/Aroma/Flavor	hash:sha256:83a1cbb2b2d02d342042c0042aac671146b9941c09820f430afa4a338ce8ebfe	en	STRICT_FLAVOR	hash:sha256:83a1cbb2b2d02d342042c0042aac671146b9941c09820f430afa4a338ce8ebfe		UNRESOLVED	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	C_OFFICIAL_FIELD_PROVENANCE_UNRESOLVED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	3a8d6e2f7d4a94aa3ed3b59bb42eba92f2d90d3f0e4f5c7b29f6446955830657	83a1cbb2b2d02d342042c0042aac671146b9941c09820f430afa4a338ce8ebfe	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:11d0b5b27d35123d4e7ae125	round3m-live-assertions	capture:2ecb916106615174:coe-honduras-2017-el-roblar	2ecb916106615174a12a05a01589ef2799d168765880a5b83e5416540f562053	route.coe.honduras-2017.explicit-top-jury	family.ace_cup_of_excellence	organizer.ace	coe	honduras-2017	2017	cup-of-excellence	competition-final	coe-honduras-2017-el-roblar	coe-honduras-2017-el-roblar	unresolved_preparation_service	effective:aa8257ea7c527ff93620b889	PRIMARY_JURY_DESCRIPTION	Top Jury Descriptions	https://allianceforcoffeeexcellence.org/farm-directory/88-00-5/	restricted:coe_honduras_2017_top_jury.json#/records/3/fields/Top Jury Descriptions	hash:sha256:ad3f9efe33cff844d1fa4c29855f8aa4c8230f1a112bb14d06f3a8bff9e4801a	en	STRICT_FLAVOR	hash:sha256:ad3f9efe33cff844d1fa4c29855f8aa4c8230f1a112bb14d06f3a8bff9e4801a		P2	SOURCE_AUDITED_EXPLICIT_JURY_FIELD	PENDING	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	B_CORE_RIGHTS_BLOCKED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	7eadc583046ae80f06521c7dc4467c125933cd133a2b3f92b4a0a56a8896ea79	ad3f9efe33cff844d1fa4c29855f8aa4c8230f1a112bb14d06f3a8bff9e4801a	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:153ef57b03f40fa8e15505dd	round3m-live-assertions	capture:2ecb916106615174:coe-honduras-2017-el-roblar	2ecb916106615174a12a05a01589ef2799d168765880a5b83e5416540f562053	route.coe.honduras-2017.explicit-top-jury	family.ace_cup_of_excellence	organizer.ace	coe	honduras-2017	2017	cup-of-excellence	competition-final	coe-honduras-2017-el-roblar	coe-honduras-2017-el-roblar	unresolved_preparation_service	effective:aa8257ea7c527ff93620b889	PRIMARY_JURY_DESCRIPTION	Top Jury Descriptions	https://allianceforcoffeeexcellence.org/farm-directory/88-00-5/	restricted:coe_honduras_2017_top_jury.json#/records/3/fields/Top Jury Descriptions	hash:sha256:1b4c9133da73a711322404314402765ab0d23fd362a167d6f0c65bb215113d94	en	STRICT_FLAVOR	hash:sha256:1b4c9133da73a711322404314402765ab0d23fd362a167d6f0c65bb215113d94		P2	SOURCE_AUDITED_EXPLICIT_JURY_FIELD	PENDING	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	B_CORE_RIGHTS_BLOCKED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	7eadc583046ae80f06521c7dc4467c125933cd133a2b3f92b4a0a56a8896ea79	1b4c9133da73a711322404314402765ab0d23fd362a167d6f0c65bb215113d94	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:16269ec0f0e220c35d0b8427	round3m-live-assertions	capture:2ecb916106615174:coe-honduras-2017-el-cedro	2ecb916106615174a12a05a01589ef2799d168765880a5b83e5416540f562053	route.coe.honduras-2017.explicit-top-jury	family.ace_cup_of_excellence	organizer.ace	coe	honduras-2017	2017	cup-of-excellence	competition-final	coe-honduras-2017-el-cedro	coe-honduras-2017-el-cedro	unresolved_preparation_service	effective:417f9b9adcf3826aa8f3ac12	PRIMARY_JURY_DESCRIPTION	Top Jury Descriptions	https://allianceforcoffeeexcellence.org/farm-directory/88-62-5/	restricted:coe_honduras_2017_top_jury.json#/records/2/fields/Top Jury Descriptions	hash:sha256:1f8729702f855687524eb7a526cb22feffa2b02500e077b7d9f9e18583a588cf	en	BROAD_SENSORY	hash:sha256:1f8729702f855687524eb7a526cb22feffa2b02500e077b7d9f9e18583a588cf		P2	SOURCE_AUDITED_EXPLICIT_JURY_FIELD	PENDING	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	B_CORE_RIGHTS_BLOCKED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	b237a10caf5b846b28ae9e233b69a78264f9f7adc19901074c32f12e3ff8a18b	1f8729702f855687524eb7a526cb22feffa2b02500e077b7d9f9e18583a588cf	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:16cae467efce764ba533032e	round3m-live-assertions	capture:2ecb916106615174:coe-honduras-2017-el-cedro	2ecb916106615174a12a05a01589ef2799d168765880a5b83e5416540f562053	route.coe.honduras-2017.explicit-top-jury	family.ace_cup_of_excellence	organizer.ace	coe	honduras-2017	2017	cup-of-excellence	competition-final	coe-honduras-2017-el-cedro	coe-honduras-2017-el-cedro	unresolved_preparation_service	effective:417f9b9adcf3826aa8f3ac12	PRIMARY_JURY_DESCRIPTION	Top Jury Descriptions	https://allianceforcoffeeexcellence.org/farm-directory/88-62-5/	restricted:coe_honduras_2017_top_jury.json#/records/2/fields/Top Jury Descriptions	hash:sha256:a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a	en	STRICT_FLAVOR	hash:sha256:a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a		P2	SOURCE_AUDITED_EXPLICIT_JURY_FIELD	PENDING	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	B_CORE_RIGHTS_BLOCKED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	b237a10caf5b846b28ae9e233b69a78264f9f7adc19901074c32f12e3ff8a18b	a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:1700fecd88bd47b5fc2f9737	round3m-live-assertions	capture:2ecb916106615174:coe-honduras-2017-el-cedro	2ecb916106615174a12a05a01589ef2799d168765880a5b83e5416540f562053	route.coe.honduras-2017.explicit-top-jury	family.ace_cup_of_excellence	organizer.ace	coe	honduras-2017	2017	cup-of-excellence	competition-final	coe-honduras-2017-el-cedro	coe-honduras-2017-el-cedro	unresolved_preparation_service	effective:417f9b9adcf3826aa8f3ac12	PRIMARY_JURY_DESCRIPTION	Top Jury Descriptions	https://allianceforcoffeeexcellence.org/farm-directory/88-62-5/	restricted:coe_honduras_2017_top_jury.json#/records/2/fields/Top Jury Descriptions	hash:sha256:c960ab959ced4bf733e88e25c89e10a30574d8cd86ba74b2a351d45f7de12a84	en	STRICT_FLAVOR	hash:sha256:c960ab959ced4bf733e88e25c89e10a30574d8cd86ba74b2a351d45f7de12a84		P2	SOURCE_AUDITED_EXPLICIT_JURY_FIELD	PENDING	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	B_CORE_RIGHTS_BLOCKED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	b237a10caf5b846b28ae9e233b69a78264f9f7adc19901074c32f12e3ff8a18b	c960ab959ced4bf733e88e25c89e10a30574d8cd86ba74b2a351d45f7de12a84	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:17ef71a3858d31053220cae1	round3m-live-assertions	capture:717b9e1a3ef6400f:coe-colombia-south-2008-el-vergel-86-73	717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033	route.coe.colombia-south-2008.frequency-coded	family.ace_cup_of_excellence	organizer.ace	coe	colombia-south-2008	2008	cup-of-excellence	competition-final	coe-colombia-south-2008-el-vergel-86-73	coe-colombia-south-2008-el-vergel-86-73	unresolved_preparation_service	effective:e034410f41d662fd4a1c08f6	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/86-73/	restricted:coe_colombia_south_2008_frequency.json#/records/1/fields/Aroma/Flavor	hash:sha256:5ed728c2fa5d767bc6c1ec6a732db1e37c343be46913e6498d340f7782691f14	en	STRICT_FLAVOR	hash:sha256:5ed728c2fa5d767bc6c1ec6a732db1e37c343be46913e6498d340f7782691f14		UNRESOLVED	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	C_OFFICIAL_FIELD_PROVENANCE_UNRESOLVED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	8135b1e52d0f49f8e1174f797cb31bfb639577c1312325f678f4c7dc5ee13ec4	5ed728c2fa5d767bc6c1ec6a732db1e37c343be46913e6498d340f7782691f14	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:1ad87606c27d7456982f654c	round3m-live-assertions	capture:717b9e1a3ef6400f:coe-colombia-south-2008-el-vergel-86-73	717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033	route.coe.colombia-south-2008.frequency-coded	family.ace_cup_of_excellence	organizer.ace	coe	colombia-south-2008	2008	cup-of-excellence	competition-final	coe-colombia-south-2008-el-vergel-86-73	coe-colombia-south-2008-el-vergel-86-73	unresolved_preparation_service	effective:e034410f41d662fd4a1c08f6	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/86-73/	restricted:coe_colombia_south_2008_frequency.json#/records/1/fields/Aroma/Flavor	hash:sha256:f5f445528f4a0134354c891fbd95fd0734d25cb2c9206c4684545ae49b14d29b	en	BROAD_SENSORY	hash:sha256:f5f445528f4a0134354c891fbd95fd0734d25cb2c9206c4684545ae49b14d29b		UNRESOLVED	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	C_OFFICIAL_FIELD_PROVENANCE_UNRESOLVED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	8135b1e52d0f49f8e1174f797cb31bfb639577c1312325f678f4c7dc5ee13ec4	f5f445528f4a0134354c891fbd95fd0734d25cb2c9206c4684545ae49b14d29b	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:1c21591cc5d86d9b86356071	round3m-live-assertions	capture:2ecb916106615174:coe-honduras-2017-el-laurel	2ecb916106615174a12a05a01589ef2799d168765880a5b83e5416540f562053	route.coe.honduras-2017.explicit-top-jury	family.ace_cup_of_excellence	organizer.ace	coe	honduras-2017	2017	cup-of-excellence	competition-final	coe-honduras-2017-el-laurel	coe-honduras-2017-el-laurel	unresolved_preparation_service	effective:f1a4276a0e1a0970dc839383	PRIMARY_JURY_DESCRIPTION	Top Jury Descriptions	https://allianceforcoffeeexcellence.org/farm-directory/91-81-2/	restricted:coe_honduras_2017_top_jury.json#/records/1/fields/Top Jury Descriptions	hash:sha256:2efe147f807a984572e45054d5d16169d9b8bdf4fcc0d45d12fb269a8be12f5b	en	STRICT_FLAVOR	hash:sha256:2efe147f807a984572e45054d5d16169d9b8bdf4fcc0d45d12fb269a8be12f5b		P2	SOURCE_AUDITED_EXPLICIT_JURY_FIELD	PENDING	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	B_CORE_RIGHTS_BLOCKED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	0188b6914675aaa274a322c064cc9b686d026f04563181ed92e0347b00b8c7b9	2efe147f807a984572e45054d5d16169d9b8bdf4fcc0d45d12fb269a8be12f5b	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:1ff1b804a5e5690811893a5c	round3m-live-assertions	capture:44b83f0786a9909c:coe-peru-2025-la-catarata	44b83f0786a9909c3f55fa4ba0f148aee15d75e54ae571918cc4350372b2a0f9	route.coe.generic-sensory-field	family.ace_cup_of_excellence	organizer.ace	coe	peru-2025	2025	cup-of-excellence	competition-final	coe-peru-2025-la-catarata	coe-peru-2025-la-catarata	unresolved_preparation_service	effective:ec2043706fc868557e7d7152	GENERIC_ORGANIZER_SENSORY_FIELD	Overall	https://farmdirectory.cupofexcellence.org/listing/1-la-catarata-peru-2025/	restricted:coe_peru_2025_generic.json#/records/0/fields/Overall	hash:sha256:b6f436d9d3beaf4d676ebab540936c70da384d3db32f51286f5d63c63f76892d	en	STRICT_FLAVOR	hash:sha256:b6f436d9d3beaf4d676ebab540936c70da384d3db32f51286f5d63c63f76892d		UNRESOLVED	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	C_OFFICIAL_FIELD_PROVENANCE_UNRESOLVED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	539adfdea796c45db1b6386c0eb39f37f2a40eb6259efe995f38612604a6477d	b6f436d9d3beaf4d676ebab540936c70da384d3db32f51286f5d63c63f76892d	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
assertion:2037f3d3f5bb37d187d700d9	round3m-live-assertions	capture:2ecb916106615174:coe-honduras-2017-el-roblar	2ecb916106615174a12a05a01589ef2799d168765880a5b83e5416540f562053	route.coe.honduras-2017.explicit-top-jury	family.ace_cup_of_excellence	organizer.ace	coe	honduras-2017	2017	cup-of-excellence	competition-final	coe-honduras-2017-el-roblar	coe-honduras-2017-el-roblar	unresolved_preparation_service	effective:aa8257ea7c527ff93620b889	PRIMARY_JURY_DESCRIPTION	Top Jury Descriptions	https://allianceforcoffeeexcellence.org/farm-directory/88-00-5/	restricted:coe_honduras_2017_top_jury.json#/records/3/fields/Top Jury Descriptions	hash:sha256:7d108ddb9255c7f990a9ec23453aea2b99ac06e5150c1e70e804e64dc22ee748	en	BROAD_SENSORY	hash:sha256:7d108ddb9255c7f990a9ec23453aea2b99ac06e5150c1e70e804e64dc22ee748		P2	SOURCE_AUDITED_EXPLICIT_JURY_FIELD	PENDING	PROVISIONAL_MACHINE_CLASSIFIED	HUMAN_REVIEW_REQUIRED	B_CORE_RIGHTS_BLOCKED					SOURCE_UNKNOWN		SOURCE_UNKNOWN			21d04f50952ac30ee13010ee26bae8a224ea9f71	round3m.field-parser.v1	round3m.live-adapters.v1	2026-08-28T04:30:00Z	true	true	false	7eadc583046ae80f06521c7dc4467c125933cd133a2b3f92b4a0a56a8896ea79	7d108ddb9255c7f990a9ec23453aea2b99ac06e5150c1e70e804e64dc22ee748	HASH_ONLY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY
